Taxon	GTDB taxonomy	BBF7405	BBF7406	BBF7407	BBF7408	BBF7409	BBF7410
s__Acinetobacter baumannii	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.000000	0.756854	0.000000	0.000000	0.000000	0.000000
s__Actinomyces urogenitalis	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces	2.512821	0.000000	0.000000	0.000000	0.000000	0.000000
s__Alloscardovia omnicolens	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Bifidobacteriaceae; g__Alloscardovia	3.163054	0.000000	0.000000	0.000000	0.000000	0.000000
s__Anaerococcus MIC9701	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Tissierellales; f__Helcococcaceae; g__Anaerococcus	0.000000	0.000000	2.898110	0.000000	0.000000	0.000000
s__Anaerococcus sp001182725	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Tissierellales; f__Helcococcaceae; g__Anaerococcus	0.000000	0.000000	2.345535	0.000000	0.000000	0.000000
s__Anaerococcus sp002359915	d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Tissierellales; f__Helcococcaceae; g__Anaerococcus	0.017824	0.000000	0.000000	0.000000	0.000000	0.000000
s__Anaeroglobus micronuciformis	d__Bacteria; p__Firmicutes_C; c__Negativicutes; o__Veillonellales; f__Megasphaeraceae; g__Anaeroglobus	0.555938	0.000000	0.000000	0.000000	0.000000	0.000000
s__Atlantibacter hermannii	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Atlantibacter	0.060702	0.000000	0.000000	0.000000	0.000000	0.000000
s__Bacillus_A anthracis	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae_G; g__Bacillus_A	0.000000	0.000000	0.000000	0.828419	0.000000	0.222784
s__Bacillus_A cereus_AD	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae_G; g__Bacillus_A	0.000000	0.000000	0.000000	0.000000	0.000000	0.076698
s__Bacteroides stercoris	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.000000	0.000000	0.000000	0.000000	0.392099	0.000000
s__Bacteroides uniformis	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.000000	0.000000	0.000000	0.000000	0.588719	0.000000
s__Bacteroides_B massiliensis	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_B	0.000000	0.000000	0.000000	0.000000	0.119503	0.000000
s__Bacteroides_B vulgatus	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_B	0.000000	0.000000	0.000000	0.000000	26.075207	0.000000
s__Bifidobacterium animalis	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Bifidobacteriaceae; g__Bifidobacterium	0.000000	0.000000	0.064360	0.000000	0.000000	0.000000
s__Bifidobacterium bifidum	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Bifidobacteriaceae; g__Bifidobacterium	24.169142	0.417312	8.643221	0.000000	0.656120	0.000000
s__Bifidobacterium longum	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Bifidobacteriaceae; g__Bifidobacterium	0.000000	0.000000	0.000000	0.000000	7.075688	0.000000
s__Bifidobacterium scardovii	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Actinomycetales; f__Bifidobacteriaceae; g__Bifidobacterium	33.409669	0.000000	0.000000	0.000000	0.000000	0.000000
